"","show","season1","season2","average vote","airdate_1","airdate_2","days_between","episodes","English","Runtime","Certificate","Genre"
"1","1000 Ways to Die",6.16666666666667,6.46666666666667,40.75,2008-05-14,2009-12-05,570,12,"TRUE",23,"TV-14","Documentary Comedy Horror"
"2","21 Jump Street",7.44166666666667,7.49090909090909,198.166666666667,1987-04-12,1987-09-20,161,12,"TRUE",60,"TV-14","Crime Drama Mystery"
"3","30 for 30",6.73666666666667,6.73,1109.3,2009-10-06,2012-10-02,1092,30,"TRUE",60,"TV-G","Documentary Biography History Sport"
"4","A Black Lady Sketch Show",6.68333333333333,5.8,129.666666666667,2019-08-02,2021-04-23,630,6,"TRUE",30,"TV-MA","Comedy"
"5","A Haunting",7.7,7.98,85.6666666666667,2005-12-09,2006-03-17,98,6,"TRUE",60,"TV-PG","Documentary Horror Mystery Thriller"
"6","A Million Little Things",8.65294117647059,8.4421052631579,329.647058823529,2018-09-26,2019-09-26,365,17,"TRUE",43,"TV-14","Comedy Drama Romance"
"7","Absolutely Fabulous",8.28333333333333,8.51666666666667,355,1992-11-12,1994-01-27,441,6,"TRUE",45,"TV-14","Comedy"
"8","Abstract: The Art of Design",7.9375,7.86666666666667,365,2017-02-10,2019-09-25,957,8,"TRUE",45,"TV-14","Documentary"
"9","Accused",7.71666666666667,8.1,183.666666666667,2010-11-15,2012-08-14,638,6,"TRUE",60,"TV-14","Crime Drama Mystery"
"10","Age of Youth",8.28333333333333,8.34285714285714,13.3333333333333,2016-07-22,2017-08-25,399,12,"FALSE",60,"TV-14","Comedy Drama Romance"
"11","Agents of S.H.I.E.L.D.",8.15909090909091,8.49545454545455,4093.68181818182,2013-09-24,2014-09-23,364,22,"MISSING",45,"TV-PG","Action Adventure Drama Sci-Fi Thriller"
"12","Ajin",7.59333333333333,7.64285714285714,109.4,2016-01-16,2016-10-08,266,15,"FALSE",24,"TV-MA","Animation Action Adventure Drama Fantasy Horror Mystery Sci-Fi Thriller"
"13","Alaskan Bush People",7.74,7.62222222222222,32,2014-05-06,2014-12-19,227,5,"TRUE",42,"TV-PG","Reality-TV"
"15","Are You the One?",7.40833333333333,6.70909090909091,33.5833333333333,2014-01-21,2014-10-06,258,12,"TRUE",41,"TV-14","Reality-TV"
"16","Avengers Assemble",7.39615384615385,7.85,165.923076923077,2013-05-26,2014-09-28,490,26,"TRUE",23,"TV-Y7","Animation Action Adventure Sci-Fi"
"17","Awkward.",7.70833333333333,7.58333333333333,264.75,2011-07-19,2012-06-28,345,12,"TRUE",22,"TV-14","Comedy Drama Romance"
"18","Babar",6.44615384615385,6.01538461538462,22.8461538461538,1989-01-03,1989-08-21,230,13,"TRUE",30,"TV-Y7","Animation Comedy Drama Family Fantasy"
"19","Ballers",7.92,8.19,1447.8,2015-06-21,2016-07-17,392,10,"TRUE",30,"TV-MA","Comedy Drama Sport"
"20","Banacek",7.73333333333333,7.85,153.888888888889,1972-03-20,1973-10-03,562,9,"TRUE",90,"TV-PG","Crime Drama Mystery"
"21","Bancroft",7.35,7.7,202,2017-12-10,2020-01-01,752,4,"TRUE",45,"TV-14","Crime Drama Mystery Thriller"
"22","Baretta",8.23333333333333,8.65909090909091,56.3333333333333,1975-01-17,1975-09-10,236,12,"TRUE",60,"TV-PG","Crime Drama Mystery Thriller"
"24","Beck",5.975,6.0625,1324.625,1998-04-25,2003-04-27,1828,8,"FALSE",90,"Not Rated","Crime Mystery Thriller"
"25","Being Human",8.05714285714286,7.9875,427.714285714286,2009-01-25,2010-01-10,350,7,"TRUE",60,"TV-14","Comedy Drama Fantasy Horror"
"26","Ben 10: Ultimate Alien",8.6,8.55833333333333,181.05,2010-04-23,2011-02-04,287,20,"TRUE",22,"TV-Y7","Animation Action Adventure Family Sci-Fi"
"27","Benson",7.58333333333333,7.53636363636364,34.125,1979-09-13,1980-10-31,414,24,"TRUE",30,"TV-G","Comedy Family"
"28","Big Little Lies",8.54285714285714,8.44285714285714,4906.42857142857,2017-02-19,2019-06-09,840,7,"TRUE",60,"TV-MA","Crime Drama Mystery"
"29","Big Time Rush",8.53684210526316,8.66785714285714,113.105263157895,2009-11-28,2011-11-12,714,19,"TRUE",25,"TV-G","Comedy Family Musical"
"30","Bless This Mess",7.36666666666667,7.715,172.5,2019-04-16,2019-09-24,161,6,"TRUE",30,"TV-PG","Comedy"
"31","Blown Away",6.69,5.78,83.6,2019-07-12,2021-01-22,560,10,"TRUE",23,"TV-PG","Reality-TV"
"32","Bluestone 42",7.375,8,28.375,2013-03-05,2013-12-26,296,8,"TRUE",30,"TV-14","Comedy War"
"33","Blunt Talk",7.95,7.95,161.4,2015-08-22,2016-10-02,407,10,"TRUE",30,"TV-MA","Comedy"
"35","Braquo",7.6875,7.575,94,2009-10-12,2011-11-21,770,8,"FALSE",52,"TV-14","Crime Thriller"
"36","Brockmire",7.875,7.725,197.125,2017-04-05,2018-04-25,385,8,"TRUE",30,"TV-MA","Comedy Drama Sport"
"37","Cagney &amp; Lacey",7.31428571428571,7.73636363636364,73.7142857142857,1981-10-08,1982-10-25,382,7,"TRUE",60,"TV-PG","Crime Drama Mystery Thriller"
"38","Cake Boss",7.60769230769231,7.69473684210526,16.8461538461538,2009-04-19,2009-10-26,190,13,"TRUE",30,"TV-PG","Family Reality-TV"
"39","California Dreams",7.83846153846154,8.47222222222222,17.0769230769231,1992-09-12,1993-09-11,364,13,"TRUE",30,"TV-Y7","Comedy Family Music"
"40","Car Masters: Rust to Riches",8.525,8.6875,114.875,2018-09-14,2020-03-27,560,8,"MISSING",40,"TV-PG","Reality-TV"
"41","Cardcaptor Sakura",7.42571428571429,7.72727272727273,48.5142857142857,1998-04-07,1999-04-06,364,35,"FALSE",30,"TV-Y7-FV","Animation Action Adventure Comedy Drama Fantasy Romance"
"42","Cardinal",7.95,7.8,370,2017-06-16,2018-01-04,202,6,"TRUE",42,"TV-MA","Crime Drama Mystery Thriller"
"43","Carmen Sandiego",8.12222222222222,8.01,221,2019-01-18,2019-10-01,256,9,"TRUE",22,"TV-Y7-FV","Animation Action Adventure Family Mystery Thriller"
"44","Chance",8.49,8.83,384.9,2016-10-19,2017-10-11,357,10,"TRUE",60,"TV-MA","Drama Mystery Thriller"
"45","Cheyenne",8.13333333333333,8.325,107.666666666667,1955-09-20,1956-09-11,357,15,"TRUE",60,"TV-G","Western"
"46","Con Man",8.46923076923077,7.6,92.4615384615385,2015-09-30,2016-12-08,435,13,"TRUE",12,"TV-14","Comedy"
"47","Coroner",7.3875,7.6,218.75,2020-08-05,2020-10-07,63,8,"TRUE",60,"TV-MA","Crime Drama Mystery"
"48","Corporate",7.98,8.42,134.3,2018-01-17,2019-01-15,363,10,"TRUE",30,"TV-14","Comedy"
"49","Cory in the House",7.14285714285714,6.73846153846154,37.8095238095238,2007-01-12,2007-11-17,309,21,"TRUE",22,"TV-G","Comedy Family"
"50","Cracker",8.24285714285714,8.73333333333333,284,1993-09-27,1994-10-10,378,7,"TRUE",100,"TV-MA","Crime Drama Mystery"
"51","Crazy Ex-Girlfriend",8.2,8.26153846153846,416.555555555556,2015-10-12,2016-10-21,375,18,"TRUE",42,"TV-14","Comedy Musical"
"52","Cybill",7.63846153846154,7.575,80.7692307692308,1995-01-02,1995-09-17,258,13,"TRUE",30,"TV-PG","Comedy"
"54","Dead Like Me",7.95714285714286,8.18666666666667,430,2003-06-27,2004-07-25,394,14,"TRUE",60,"TV-14","Comedy Drama Fantasy"
"55","Designated Survivor",7.7952380952381,7.23181818181818,1698.57142857143,2016-09-21,2017-09-27,371,21,"TRUE",60,"TV-14","Action Drama Mystery Thriller"
"56","Destination Truth",7.45,7.83076923076923,28.8333333333333,2007-06-06,2008-03-12,280,6,"TRUE",60,"TV-14","Reality-TV"
"57","Dexter",8.83333333333333,8.85833333333333,5983.91666666667,2006-10-01,2007-09-30,364,12,"TRUE",53,"TV-MA","Crime Drama Mystery Thriller"
"59","Dirty Sanchez",7.0875,7.375,10.875,2003-05-23,2004-08-18,453,8,"TRUE",30,"TV-MA","Action Comedy Reality-TV"
"60","Doug",8.28461538461539,8.37692307692308,78.8461538461538,1991-08-11,1992-09-13,399,13,"TRUE",30,"TV-Y7","Animation Adventure Comedy Drama Family Fantasy"
"61","Dr. Katz, Professional Therapist",8.06666666666667,7.76153846153846,44.5,1995-05-28,1995-10-15,140,6,"TRUE",30,"TV-G","Animation Comedy"
"62","Duncanville",6.6,6.85,98.0909090909091,2020-02-16,2021-05-23,462,11,"TRUE",22,"TV-14","Animation Comedy"
"64","Every Witch Way",6.32380952380952,6.00833333333333,28.047619047619,2014-01-01,2014-07-07,187,21,"TRUE",23,"TV-G","Comedy Drama Family Fantasy Romance"
"65","Everything's Gonna Be Okay",7.42,7.53,92.8,2020-01-16,2021-04-08,448,10,"TRUE",30,"TV-14","Comedy"
"66","Face Off",7.95,8.14,45.75,2011-01-26,2012-01-11,350,8,"TRUE",44,"TV-PG","Game-Show Reality-TV"
"67","Fact or Faked: Paranormal Files",6.55,7.77083333333333,26.3333333333333,2010-07-15,2011-03-23,251,12,"TRUE",47,"Open","Documentary Sci-Fi"
"68","Falling Skies",7.4,7.93,907.7,2011-06-19,2012-06-17,364,10,"TRUE",42,"TV-14","Action Adventure Drama Sci-Fi Thriller"
"69","Fanboy &amp; Chum Chum",4.95,5.16153846153846,27.6538461538462,2009-10-12,2011-04-25,560,26,"TRUE",24,"TV-Y7","Animation Short Action Adventure Comedy Family Fantasy Sci-Fi"
"70","Father Brown",7.53,7.67,340,2013-01-14,2014-01-06,357,10,"TRUE",52,"TV-PG","Crime Drama Mystery"
"71","Finding Bigfoot",7.14285714285714,7.44,13.8571428571429,2011-05-30,2011-10-30,153,7,"TRUE",45,"TV-PG","Documentary Drama Thriller"
"72","Flack",7.56666666666667,8.13333333333333,173.166666666667,2019-02-21,2021-06-11,841,6,"TRUE",60,"TV-14","Comedy Drama"
"73","Forever Knight",7.76818181818182,7.80769230769231,39.8181818181818,1992-05-05,1994-09-12,860,22,"TRUE",60,"Not Rated","Crime Drama Horror Mystery"
"74","Forhøret",6.9125,5.75,75.5,2019-11-15,2021-08-29,653,8,"FALSE",30,"TV-MA","Crime Drama Mystery Thriller"
"75","Full Frontal with Samantha Bee",6.41538461538462,6.20645161290323,75.4358974358974,2016-02-08,2017-02-15,373,39,"TRUE",21,"TV-MA","Comedy News Talk-Show"
"76","Fuller House",7.41538461538462,7.56153846153846,614,2016-02-26,2016-12-09,287,13,"TRUE",30,"TV-G","Comedy Family"
"77","Futurama",8.17777777777778,7.97,2846.77777777778,1999-03-28,1999-09-26,182,9,"TRUE",22,"TV-14","Animation Comedy Sci-Fi"
"79","Gate",7.15,7.55,34.6666666666667,2015-07-04,2016-01-09,189,12,"FALSE",24,"TV-14","Animation Action Adventure Fantasy"
"80","Getting On",8,8.25,123.166666666667,2013-11-24,2014-11-09,350,6,"TRUE",30,"TV-MA","Comedy"
"83","Giruti kuraun: Guilty Crown",7.64347826086957,6.1,61.7826086956522,2012-01-03,2012-07-26,205,23,"FALSE",23,"TV-14","Animation Action Romance Sci-Fi"
"84","Gold Rush",7.08181818181818,7.33636363636364,51.1818181818182,2010-12-03,2011-10-28,329,11,"TRUE",45,"TV-14","Reality-TV"
"86","Grace Under Fire",7.59545454545455,7.47307692307692,65.3181818181818,1993-09-29,1994-09-20,356,22,"TRUE",30,"TV-PG","Comedy Romance"
"87","H2O: Just Add Water",8.15384615384615,8.47692307692308,133.769230769231,2006-07-07,2007-09-28,448,26,"TRUE",23,"TV-PG","Drama Family Fantasy"
"88","Half &amp; Half",7.28260869565217,7.79583333333333,18.2608695652174,2002-09-23,2003-09-15,357,23,"TRUE",30,"TV-14","Comedy"
"89","Hard Knocks",8.6,8.4,21.5,2001-08-01,2002-08-07,371,6,"TRUE",55,"TV-MA","Documentary Reality-TV Sport"
"90","Haven",7.63846153846154,7.95384615384615,529,2010-07-09,2011-07-15,371,13,"TRUE",60,"TV-PG","Crime Drama Fantasy Horror Mystery Sci-Fi Thriller"
"91","Hex",6.98,7.45384615384615,89.4,2006-06-08,2006-07-13,35,5,"TRUE",105,"TV-14","Comedy Drama Fantasy Horror Romance"
"92","Highlander",7.64545454545455,7.83181818181818,205.863636363636,1992-10-03,1993-09-27,359,22,"TRUE",60,"TV-14","Action Adventure Fantasy Mystery Romance Sci-Fi"
"93","Hoarders",6.75714285714286,6.88666666666667,27,2009-08-17,2009-11-30,105,7,"TRUE",44,"TV-14","Documentary"
"94","How to Make It in America",7.475,7.8625,141,2010-02-14,2011-10-02,595,8,"TRUE",30,"TV-MA","Comedy Drama"
"96","Hulk and the Agents of S.M.A.S.H.",7.00769230769231,7.05769230769231,78.2692307692308,2013-08-11,2014-10-12,427,26,"TRUE",23,"TV-Y7","Animation Action Adventure Comedy Sci-Fi"
"97","I Am Weasel",6.67692307692308,6.53076923076923,29,1997-07-15,1998-01-13,182,13,"TRUE",30,"TV-G","Animation Short Adventure Comedy Family"
"98","I Didn't Do It",8.04,7.93684210526316,33.6,2014-01-17,2015-02-15,394,20,"TRUE",22,"TV-G","Comedy Drama Family"
"99","I'm Dying Up Here",7.78,8,125.4,2017-06-04,2018-05-06,336,10,"TRUE",60,"TV-MA","Comedy Drama"
"100","Indian Summers",7.52,7.59,106.9,2015-09-27,2016-09-11,350,10,"TRUE",52,"TV-14","Drama"
"101","Insecure",7.5375,7.3625,431.75,2016-10-09,2017-07-23,287,8,"TRUE",30,"TV-MA","Comedy Romance"
"102","Inside the World's Toughest Prisons",6.775,7.25,120,2016-04-20,2018-07-06,807,4,"TRUE",47,"TV-MA","Documentary"
"103","Inspector Lewis",7.85,7.9,1089.25,2006-07-30,2008-02-24,574,4,"TRUE",90,"TV-PG","Crime Drama Mystery"
"105","iZombie",8.24615384615385,8.38421052631579,1445.23076923077,2015-03-17,2015-10-06,203,13,"TRUE",42,"TV-14","Comedy Crime Drama Horror"
"106","Jake and the Fatman",7.29090909090909,7.32,36.0454545454545,1987-09-26,1989-03-15,536,22,"TRUE",2,"TV-PG","Crime Drama"
"107","Joe Pera Talks with You",8.91111111111111,8.60769230769231,117.111111111111,2018-05-20,2019-12-06,565,9,"TRUE",11,"TV-PG","Comedy"
"108","Kid vs. Kat",8.11923076923077,8.51153846153846,10.1153846153846,2009-02-13,2010-09-11,575,26,"TRUE",22,"TV-Y7","Animation Action Adventure Comedy Family Fantasy Sci-Fi Thriller"
"110","Lab Rats: Bionic Island",7.165,7.67692307692308,51.95,2012-02-27,2013-02-25,364,20,"TRUE",22,"TV-Y7","Action Comedy Drama Family Sci-Fi"
"112","Less Than Perfect",7.45,7.22916666666667,44.8636363636364,2002-10-01,2003-09-23,357,22,"TRUE",30,"TV-PG","Comedy"
"113","Life Below Zero",7.68,7.63333333333333,21.6,2013-05-19,2013-10-29,163,10,"TRUE",44,"TV-PG","Documentary Adventure Reality-TV"
"114","Log Horizon",7.664,7.084,55.36,2013-10-05,2014-10-04,364,25,"FALSE",25,"TV-PG","Animation Action Adventure Comedy Fantasy Romance Sci-Fi"
"115","Lore",7.21666666666667,6.41666666666667,462.833333333333,2017-10-13,2018-10-19,371,6,"TRUE",40,"TV-14","Documentary Horror Mystery"
"116","Los simuladores",8.53076923076923,8.44545454545455,118.384615384615,2002-03-21,2003-05-26,431,13,"FALSE",60,"TV-PG","Adventure Comedy Mystery"
"118","Magi: The Labyrinth of Magic",7.684,7.796,24.16,2012-10-07,2013-10-06,364,25,"FALSE",25,"TV-14","Animation Action Adventure Comedy Fantasy"
"119","Man with a Plan",7.58181818181818,7.82380952380952,246.772727272727,2016-10-24,2017-11-13,385,22,"TRUE",30,"TV-PG","Comedy"
"121","Married at First Sight",6.93846153846154,6.55625,15.6923076923077,2014-07-08,2015-03-17,252,13,"TRUE",83,"TV-14","Reality-TV"
"122","Master of None",8.34,8.77,1898.2,2015-11-06,2017-05-12,553,10,"TRUE",30,"TV-MA","Comedy Drama"
"124","Mayans M.C.",8.09,8.35,645.3,2018-09-04,2019-09-03,364,10,"TRUE",60,"TV-MA","Crime Drama Thriller"
"125","McLeod's Daughters",7.84545454545455,8.26818181818182,64.2727272727273,2001-08-08,2002-03-27,231,22,"TRUE",45,"TV-14","Drama Romance"
"126","Medium",8.0125,8.05,262.5625,2005-01-03,2005-09-19,259,16,"TRUE",60,"TV-14","Crime Drama Fantasy Mystery Thriller"
"127","Melissa &amp; Joey",7.12333333333333,7.36,125.266666666667,2010-08-17,2012-05-30,652,30,"TRUE",30,"TV-14","Comedy Romance"
"128","Melrose Place",7.4,7.93548387096774,89.6875,1992-07-08,1993-09-08,427,32,"TRUE",60,"TV-14","Drama Romance"
"130","Men in Black: The Series",6.78461538461538,6.91538461538462,32.3846153846154,1997-10-11,1998-09-19,343,13,"TRUE",25,"TV-Y7","Animation Action Comedy Family Mystery Sci-Fi"
"133","Miracle Workers",7.34285714285714,7.27,540.571428571429,2019-02-08,2020-01-28,354,7,"TRUE",22,"TV-14","Comedy Drama Fantasy Romance"
"134","Miss Fisher's Murder Mysteries",7.81538461538462,7.93846153846154,437.153846153846,2012-02-24,2013-09-06,560,13,"TRUE",60,"TV-PG","Crime Drama Mystery"
