"","show","season1","season2","average vote","airdate_1","airdate_2","days_between","episodes","English","Runtime","Certificate","Genre"
"135","Motherland",7.57142857142857,7.86666666666667,109.142857142857,2017-11-07,2019-10-07,699,7,"TRUE",30,"TV-MA","Comedy"
"137","Mr. Iglesias",7.57,7.41428571428571,187.6,2019-06-21,2020-06-17,362,10,"TRUE",30,"TV-14","Comedy"
"138","Mr. Robot",8.83,8.74166666666667,10402.6,2015-06-24,2016-07-10,382,10,"TRUE",49,"TV-MA","Crime Drama Thriller"
"139","Murder in the First",7.89,7.9,192.7,2014-06-09,2015-06-08,364,10,"TRUE",42,"TV-MA","Crime Drama Mystery"
"140","Night Gallery",7.31428571428571,7.42608695652174,645.571428571429,1969-11-08,1971-09-15,676,7,"TRUE",50,"TV-PG","Drama Fantasy Horror Mystery Sci-Fi Thriller"
"141","Nirvanna the Band the Show",9.075,9.0875,90.25,2017-02-02,2017-12-08,309,8,"TRUE",22,"TV-MA","Comedy"
"142","Nisekoi",7.75,7.59166666666667,52.05,2014-01-11,2015-04-10,454,20,"FALSE",25,"TV-PG","Animation Comedy Romance"
"145","OK K.O.! Let's Be Heroes",7.93461538461538,7.44054054054054,47.2307692307692,2017-06-13,2018-05-04,325,52,"TRUE",11,"TV-Y7-FV","Animation Short Action Adventure Comedy Family Fantasy Sci-Fi"
"146","Once Upon a Time",8.34090909090909,8.26818181818182,2281.68181818182,2011-10-23,2012-09-30,343,22,"TRUE",60,"TV-PG","Adventure Fantasy Romance"
"147","One Tree Hill",8.42727272727273,8.39130434782609,426.681818181818,2003-09-23,2004-09-21,364,22,"TRUE",60,"TV-14","Drama Romance Sport"
"149","Our Cartoon President",6.05,6.25,103.777777777778,2018-02-11,2019-05-12,455,18,"TRUE",30,"TV-14","Animation Adventure Comedy"
"150","Outrageous Fortune",8.21538461538461,8.31176470588235,25.8461538461538,2005-07-12,2006-08-05,389,13,"TRUE",45,"TV-MA","Comedy Crime Drama"
"151","Permanent Roommates",8.82,7.9625,365.2,2014-10-29,2016-02-14,473,5,"TRUE",21,"TV-PG","Comedy Romance"
"152","Phineas and Ferb",8.23461538461538,8.26052631578947,284.884615384615,2007-08-17,2009-02-19,552,26,"TRUE",15,"TV-G","Animation Action Comedy Family Musical Sci-Fi"
"153","Playing House",8.05,8.4875,71.9,2014-04-29,2015-08-04,462,10,"TRUE",30,"TV-14","Comedy"
"154","Poltergeist: The Legacy",6.99047619047619,7.55454545454545,42.0476190476191,1996-04-21,1997-03-09,322,21,"TRUE",60,"Rated R for terror violence and a scene of sexuality","Drama Fantasy Horror Mystery Sci-Fi Thriller"
"155","Porridge",8.05,8.3625,139.666666666667,1974-09-05,1975-10-24,414,6,"TRUE",45,"TV-14","Comedy Crime"
"156","Power Rangers Megaforce",6.86818181818182,7.255,40.4090909090909,2013-02-02,2014-02-15,378,22,"TRUE",24,"TV-Y7","Action Adventure Family Fantasy Sci-Fi"
"157","Punky Brewster",7.81363636363636,8.03181818181818,40,1984-09-16,1985-09-15,364,22,"MISSING",30,"TV-G","Comedy Family"
"158","Quick Draw McGraw",6.65769230769231,6.57692307692308,17.3846153846154,1959-09-28,1960-09-10,348,26,"TRUE",30,"TV-G","Animation Comedy Family Western"
"159","Quincy M.E.",7.475,7.36153846153846,136.75,1976-10-03,1977-02-04,124,4,"TRUE",60,"TV-PG","Crime Drama Mystery Thriller"
"160","Ransom",7.60769230769231,7.88461538461538,138.384615384615,2017-01-01,2018-04-07,461,13,"TRUE",44,"TV-14","Action Crime Drama"
"161","Republic of Doyle",7.66923076923077,7.61538461538461,85.6153846153846,2010-08-19,2011-01-12,146,13,"TRUE",60,"TV-14","Comedy Crime Drama"
"162","Review",8.34444444444444,8.6,169.888888888889,2014-03-06,2015-07-30,511,9,"TRUE",30,"TV-14","Comedy"
"163","Rosemary &amp; Thyme",7.76666666666667,7.9125,188.666666666667,2003-08-30,2004-10-03,400,6,"TRUE",48,"TV-PG","Crime Drama Mystery"
"164","RuPaul's Drag Race UK",7.96,8.3,209.5,2019-09-03,2020-12-16,470,10,"MISSING",60,"TV-14","Game-Show Reality-TV"
"165","RWBY",7.825,8.61666666666667,207.1875,2013-07-18,2014-07-24,371,16,"TRUE",13,"TV-PG","Animation Action Adventure Comedy Drama Fantasy Sci-Fi Thriller"
"166","Sabrina the Teenage Witch",7.75,7.70384615384615,298.083333333333,1996-09-27,1997-09-26,364,24,"TRUE",22,"TV-G","Comedy Family Fantasy"
"167","Sapphire &amp; Steel",7.75,7.36,80,1979-07-10,1981-01-06,546,14,"TRUE",30,"TV-PG","Mystery Sci-Fi Thriller"
"168","Saved by the Bell: The New Class",6.63076923076923,5.56923076923077,19.1538461538462,1993-09-11,1994-09-10,364,13,"TRUE",30,"TV-PG","Comedy Family"
"169","Scooby-Doo and Scrappy-Doo",7.425,6.89285714285714,70,1979-09-22,1980-11-01,406,16,"TRUE",30,"TV-G","Animation Adventure Comedy Crime Family Mystery"
"170","Selena: The Series",7.56666666666667,8.63333333333333,152.111111111111,2020-12-04,2021-05-04,151,9,"TRUE",40,"TV-PG","Biography Drama Music"
"171","Shark",7.95,7.7625,185.272727272727,2006-09-21,2007-09-23,367,22,"TRUE",60,"TV-14","Crime Drama Mystery"
"172","Sherlock",8.75,9.2,23424.75,2011-06-05,2012-05-06,336,4,"TRUE",88,"TV-14","Crime Drama Mystery Thriller"
"173","Silver Spoons",7.99090909090909,8.20909090909091,64.9090909090909,1982-09-25,1983-10-15,385,22,"TRUE",30,"TV-G","Comedy Family"
"174","Single Parents",7.40434782608696,7.57727272727273,166.739130434783,2018-09-26,2019-09-25,364,23,"TRUE",30,"TV-PG","Comedy"
"175","Sirens",7.69,7.74615384615385,97.8,2014-03-06,2015-01-27,327,10,"TRUE",22,"TV-14","Comedy Family Romance"
"176","Small Wonder",7.7375,7.94166666666667,23.0833333333333,1985-09-07,1986-09-13,371,24,"MISSING",30,"TV-G","Comedy Family Sci-Fi"
"177","Snowfall",7.73636363636364,8.1,322.545454545455,2017-07-05,2018-07-19,379,11,"TRUE",44,"TV-MA","Crime Drama"
"178","So Weird",7.75384615384615,7.69615384615385,27.2307692307692,1999-01-18,1999-08-27,221,13,"TRUE",30,"TV-Y7","Adventure Family Mystery Thriller"
"179","Sofia the First",7.684,7.96785714285714,89.8,2012-11-18,2014-03-07,474,25,"TRUE",22,"TV-Y","Animation Adventure Family Fantasy Musical"
"180","Somebody Feed Phil",7.73333333333333,7.95,145.833333333333,2018-01-12,2018-07-06,175,6,"TRUE",60,"TV-14","Documentary"
"181","Sonic X",7.41086956521739,7.5,34.9565217391304,2003-04-06,2004-02-22,322,46,"TRUE",30,"TV-Y7","Animation Action Adventure Comedy Family Fantasy Sci-Fi"
"182","Spider-Man",6.6,6.88846153846154,95.6538461538462,2017-07-29,2018-06-18,324,26,"TRUE",44,"TV-Y7","Animation Action Adventure Family Sci-Fi"
"183","Star",7.2,8.07222222222222,96.5,2016-12-14,2017-09-27,287,12,"TRUE",42,"TV-14","Drama Music Musical"
"184","Star Wars: The Clone Wars",7.45,7.78181818181818,2810.22727272727,2008-10-03,2009-10-02,364,22,"TRUE",23,"TV-PG","Animation Action Adventure Drama Fantasy Sci-Fi"
"185","Stargirl",8.2,8.04615384615385,1198.53846153846,2020-05-18,2021-08-10,449,13,"TRUE",9,"TV-PG","Action Adventure Crime Drama Fantasy Sci-Fi"
"187","Still Standing",7.6,7.57826086956522,166.681818181818,2002-09-30,2003-09-22,357,22,"TRUE",30,"TV-PG","Comedy Romance"
"188","Stromberg",7.95,8.08,147,2004-10-11,2005-09-11,335,8,"FALSE",25,"TV-14","Comedy"
"189","Sue Thomas: F.B.Eye",8.47777777777778,8.63157894736842,43.6111111111111,2002-10-13,2003-10-05,357,18,"TRUE",60,"TV-PG","Crime Drama Mystery Thriller"
"190","Superior Donuts",6.98461538461538,7.08571428571429,109.615384615385,2017-02-02,2017-10-30,270,13,"TRUE",21,"TV-PG","Comedy"
"192","Survivor's Remorse",8.18333333333333,8.06,56.3333333333333,2014-10-04,2015-08-22,322,6,"TRUE",30,"TV-MA","Comedy Drama Sport"
"193","Sword Art Online",7.636,7.472,523.4,2012-07-08,2014-10-11,825,25,"FALSE",24,"TV-14","Animation Action Adventure Fantasy Romance Sci-Fi Thriller"
"194","Talking Dead",8.10714285714286,8.01764705882353,61.1428571428571,2011-10-16,2012-07-08,266,14,"TRUE",44,"TV-14","Talk-Show"
"195","Teachers",6.22,6.185,87,2016-01-13,2017-01-17,370,10,"TRUE",30,"TV-14","Comedy"
"196","Teen Titans Go!",5.48679245283019,5.14807692307692,191.433962264151,2013-04-23,2014-06-12,415,53,"TRUE",10,"TV-PG","Animation Action Adventure Comedy Family Sci-Fi"
"197","The A Word",7.96666666666667,7.93333333333333,86.3333333333333,2016-07-13,2017-11-07,482,6,"TRUE",60,"TV-MA","Drama"
"199","The Arrangement",7.8,8.05,85.4,2017-03-05,2018-03-11,371,10,"TRUE",60,"TV-14","Drama"
"200","The Avengers: Earth's Mightiest Heroes",8.19615384615385,8.36538461538461,319.346153846154,2010-09-22,2012-04-01,557,26,"TRUE",30,"TV-Y7","Animation Action Adventure Family Sci-Fi"
"201","The Bill",6.95454545454546,7.10833333333333,46.2727272727273,1984-10-16,1985-11-11,391,11,"TRUE",50,"TV-14","Crime Drama"
"202","The Bletchley Circle",8,7.825,466.666666666667,2012-09-06,2014-04-13,584,3,"TRUE",45,"TV-14","Crime Drama Mystery Thriller"
"203","The Catherine Tate Show",7.06666666666667,7.52857142857143,52.3333333333333,2004-02-16,2005-07-21,521,6,"TRUE",30,"TV-MA","Comedy"
"204","The Circle",7.60833333333333,7.49230769230769,170.75,2020-01-01,2021-04-14,469,12,"TRUE",48,"TV-MA","Game-Show Reality-TV"
"205","The Closer",8.34615384615385,8.41333333333333,431.769230769231,2005-06-13,2006-06-12,364,13,"TRUE",46,"TV-14","Crime Drama Mystery"
"206","The Confession Tapes",7.61428571428571,7.475,241.714285714286,2017-09-08,2019-06-21,651,7,"TRUE",46,"TV-MA","Documentary Crime"
"209","The Detour",7.98,7.73333333333333,216.1,2016-04-11,2017-02-21,316,10,"TRUE",30,"TV-MA","Adventure Comedy"
"210","The Doctor Blake Mysteries",8.03,8.37,184.9,2013-11-24,2014-02-07,75,10,"TRUE",57,"TV-14","Crime Drama Mystery"
"211","The Dragon Prince",8.16666666666667,8.38888888888889,599.666666666667,2018-09-14,2019-02-15,154,9,"TRUE",26,"TV-Y7","Animation Adventure Drama Family Fantasy Thriller"
"212","The Exes",7.46,7.90833333333333,91.2,2011-11-30,2012-06-20,203,10,"TRUE",30,"TV-PG","Comedy"
"213","The Exorcist",8.32,8.22,1314.5,2016-09-23,2017-09-29,371,10,"TRUE",45,"TV-14","Drama Horror Mystery Thriller"
"214","The Flying Nun",6.81666666666667,6.81923076923077,26.0666666666667,1967-09-07,1968-09-26,385,30,"TRUE",30,"TV-G","Comedy"
"215","The Forsyte Saga",8.43333333333333,8.05,66.1666666666667,2002-04-07,2003-05-25,413,6,"TRUE",4,"TV-PG","Drama Romance"
"216","The Game",7.13181818181818,6.99,24.7272727272727,2006-10-01,2007-10-01,365,22,"TRUE",21,"TV-14","Comedy Drama Romance Sport"
"217","The Guest Book",7.44,6.72,126.5,2017-08-03,2018-10-23,446,10,"MISSING",30,"TV-MA","Comedy"
"218","The Handmaid's Tale",8.43,8.50769230769231,4650.8,2017-04-26,2018-04-25,364,10,"TRUE",60,"TV-MA","Drama Sci-Fi Thriller"
"219","The Jetsons",7.075,6.8780487804878,128.583333333333,1962-09-23,1985-09-16,8394,24,"TRUE",25,"TV-Y7","Animation Comedy Family Sci-Fi"
"220","The Joy of Painting",9.4,9.40769230769231,39.7692307692308,1983-01-11,1983-08-31,232,13,"TRUE",30,"TV-G","Documentary Family"
"222","The Loud House",8.60769230769231,8.53461538461539,153.5,2016-05-02,2016-11-09,191,26,"TRUE",22,"TV-Y7","Animation Adventure Comedy Family"
"223","The Many Loves of Dobie Gillis",7.6275,7.725,33.575,1959-01-01,1960-09-27,635,40,"TRUE",30,"TV-Y7","Comedy Family"
"224","The Mary Tyler Moore Show",7.69583333333333,7.6875,194.166666666667,1970-09-19,1971-09-18,364,24,"MISSING",30,"TV-PG","Comedy"
"226","The Ministry of Time",8.0375,8.03076923076923,240,2017-01-01,2016-02-15,-321,8,"FALSE",70,"TV-MA","Adventure Comedy Fantasy Sci-Fi"
"227","The Neighborhood",7.3,7.5,189.428571428571,2018-10-01,2019-09-23,357,21,"TRUE",30,"TV-PG","Comedy"
"228","The New Scooby-Doo Movies",7.675,7.575,146.625,1972-09-09,1973-09-08,364,16,"TRUE",83,"TV-G","Animation Comedy Family Mystery"
"229","The Next Step",7.93666666666667,8.28529411764706,29.5666666666667,2013-03-08,2014-03-07,364,30,"TRUE",30,"TV-G","Drama Family Romance"
"230","The Osbournes",7.24,6.72272727272727,40.9,2002-03-05,2002-11-05,245,10,"TRUE",22,"TV-MA","Comedy Music Reality-TV"
"231","The Other Two",8.12,8.62,191.8,2019-01-24,2021-08-26,945,10,"TRUE",30,"TV-MA","Comedy"
"232","The Parkers",7.16818181818182,6.83181818181818,19.9545454545455,1999-08-30,2000-09-04,371,22,"TRUE",20,"TV-PG","Comedy"
"233","The Pretender",8.05,8.25,140.363636363636,1996-09-19,1997-11-01,408,22,"TRUE",60,"TV-14","Drama Mystery Sci-Fi"
"235","The Split",7.73333333333333,7.88333333333333,188.166666666667,2018-05-23,2020-02-11,629,6,"TRUE",60,"TV-MA","Drama"
"236","The Strain",8.00769230769231,7.89230769230769,1705,2014-07-13,2015-07-12,364,13,"TRUE",43,"TV-MA","Drama Fantasy Horror Thriller"
"237","The Sylvester &amp; Tweety Mysteries",7.18461538461538,7.1,21.2307692307692,1995-09-09,1996-11-02,420,13,"TRUE",30,"TV-G","Animation Adventure Comedy Crime Family Mystery"
"238","The Twilight Zone",7.69722222222222,7.57241379310345,3494.02777777778,1959-10-02,1960-09-30,364,36,"MISSING",51,"TV-PG","Drama Fantasy Horror Mystery Sci-Fi Thriller"
"239","The Ultimate Fighter",6.67692307692308,5.83846153846154,20.6153846153846,2005-01-17,2005-08-22,217,13,"TRUE",60,"TV-14","Action Reality-TV Sport"
"240","The Village",8.26666666666667,8.48333333333333,47.1666666666667,2013-03-30,2014-08-10,498,6,"TRUE",60,"TV-14","Drama"
"241","The Wild Wild West",7.54642857142857,7.68928571428571,172.107142857143,1965-09-17,1966-09-16,364,28,"MISSING",50,"TV-PG","Action Adventure Western"
"242","Third Watch",8.29090909090909,8.38181818181818,75.1363636363636,1999-09-23,2000-10-02,375,22,"TRUE",44,"TV-14","Action Crime Drama"
"243","Tim and Eric's Bedtime Stories",7.83,7.65,103.4,2013-10-31,2017-09-10,1410,10,"TRUE",11,"TV-14","Comedy Horror"
"244","Touch",7.95,7.86428571428571,583.416666666667,2012-01-25,2012-09-14,233,12,"TRUE",43,"TV-PG","Drama Mystery Sci-Fi"
"245","Trial &amp; Error",8.3,8.16,235.384615384615,2017-03-14,2018-07-19,492,13,"TRUE",22,"TV-PG","Comedy Crime Mystery"
"246","Tuca &amp; Bertie",7.69,8.01,297.2,2019-05-03,2021-06-13,772,10,"TRUE",26,"TV-MA","Animation Comedy"
"247","Ugly Americans",7.47142857142857,7.62352941176471,94,2010-03-17,2011-06-30,470,14,"TRUE",30,"TV-14","Animation Comedy Fantasy Horror"
"248","Ugly Betty",7.9,7.58888888888889,250.695652173913,2006-09-28,2007-09-27,364,23,"TRUE",60,"TV-PG","Comedy Drama Romance"
"250","Ultimate Beastmaster",7.46,7.45,76.1,2017-02-24,2017-12-15,294,10,"TRUE",55,"TV-Y7","Game-Show Reality-TV"
"253","W.I.T.C.H.",7.22307692307692,7.12692307692308,53.4230769230769,2005-01-15,2006-06-05,506,26,"TRUE",30,"TV-Y7","Animation Action Adventure Comedy Drama Family Fantasy Thriller"
"254","Wagon Train",8.12307692307692,8.25526315789474,67.9487179487179,1957-09-18,1958-10-01,378,39,"TRUE",75,"TV-PG","Western"
"255","Wanted: Dead or Alive",7.78333333333333,7.815625,109.388888888889,1958-09-06,1959-09-05,364,36,"TRUE",30,"TV-PG","Western"
"256","Westworld",8.94,8.46,17790.9,2016-10-02,2018-04-22,567,10,"TRUE",62,"TV-MA","Drama Mystery Sci-Fi"
"257","What's Happening!!",7.74761904761905,7.63636363636364,42.9523809523809,1976-08-05,1977-09-22,413,21,"TRUE",24,"Not Rated","Comedy"
"258","Winx Club",7.77307692307692,8.04230769230769,36.3461538461538,2004-06-19,2005-09-10,448,26,"TRUE",25,"TV-Y7","Animation Action Adventure Comedy Family Fantasy Thriller"
"259","Witches of East End",7.98,7.90769230769231,344.9,2013-10-06,2014-07-06,273,10,"TRUE",60,"TV-14","Drama Fantasy Horror Mystery"
"260","Yes, Dear",6.93333333333333,6.87916666666667,25.2083333333333,2000-10-02,2001-09-24,357,24,"TRUE",30,"TV-PG","Comedy"
"261","You",8.08,8.33,3470.7,2018-09-09,2019-12-26,473,10,"TRUE",45,"TV-MA","Crime Drama Romance Thriller"
